Productname,price,color,available or not
Lakme Duo Lip Combo,₹770,,available
Lakme Absolute White Intense Wet & Dry Compact - 01 Classic Ivory,₹788,"Select ,SHADE, (,6,) ,01 Classic Ivory,Almond Honey,Golden Creme 04,Rose Cream 02,Beige Honey,Golden Medium/Golden Sand",available
Lakme Absolute Shine Liquid Eye Liner - Black,₹495,"Select ,SHADE, (,5,) ,Black,Steel Grey,Sparkling Olive,Shimmery Bronze,Liquid Gold",available
Lakme Absolute Lip Mousse - 304 Chocolate Temptation,₹618,"Select ,SHADE, (,11,) ,304 Chocolate Temptation,302 Cocoa Sin,203 Plum Punch,103 Dark Cherry,301 Nude Sensation,303 Nude Naturalle,201 Purple Haze,202 Pink Veil,102 Crimson Sky,205 Mauve Mischief,204 Fuchsia Fantasy",available
Lakme Eyeconic Curling Mascara - Black,₹342,"Select ,SHADE, (,2,) ,Black,Royal Blue",available
Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Nude Cushion,₹529,"Select ,SHADE, (,13,) ,Nude Cushion,Plum Feather,Rose Touch,Crimson Silk,Coffee Lite,Burgundy Lush,Rosy Plum,Brick Bloom,Cocoa Soft,Rouge Satin,Chocolate Mousse,Fuchsia Suede,Blush Velvet",available
Lakme Lumi Skin,₹494,"Select ,SIZE, (,2,) ,30g,60g",available
Lakme Eyeconic Royal Blue Kajal - Pack of 2,₹450,,available
Lakme Forever Matte Liquid Lip Color - Nude Dream,₹262,"Select ,SHADE, (,50,) ,Nude Dream,Brown Vixen,Pink Vintage,Mauve Fling,Coral Sense,Red Cherry,Pink Ballet,38 Red Candy,40 Rich Mahogany,39 Mauve Petal,Crimson Rose,Purple Pout,Red Velvet,Nude Pink,Nude Myth,33 Pink Parfait,37 Red Berry,Red Carpet,Fuschia Chic,Mauve Ecstasy,Wine Touch,Color Nude bloom,Pink Dusk,Color Nude perk,Pink Salt,Coral Candy,Pink Glam,Brown Espresso,Red Sangria,Red Icon,Orange Tango,Pink Prom,Wine Glow,Pink Trip,Pink Punch,Nude Latte,35 Rose Wood,36 Nude Charm,34 Brown Sheer,31 Cherry Love,32 Pink Floss,Pink Peach,Mauve Party,Nude Twist,Nude Hue,Red Wine,Red Revival,Red Drive,Red Divine,Pink Venus",available
Lakme Absolute Perfect Radiance Skin Brightening Day Creme,₹314,"Select ,SIZE, (,4,) ,100g,50g,15g,28g",available
Lakme Absolute Explore Eye Shadow Stick - Subtle Pink,₹713,"Select ,SHADE, (,9,) ,Subtle Pink,Hawaian Pink,Blue Orchid,Aquamarine,Champagne,Shimmering Gold,Sunset Gold,Umber,Jaded Grey",available
Lakme Absolute Liquid Highlighter - Rose Gold,₹595,"Select ,SHADE, (,3,) ,Rose Gold,Ivory,Bronze",available
Lakme Sun Expert SPF 50 PA+++ Ultra Matte Lotion Sunscreen,₹495,"Select ,SIZE, (,2,) ,50ml,100ml",available
Lakme Absolute Skin Natural Mousse - Ivory Fair 01,₹718,"Select ,SHADE, (,7,) ,Ivory Fair 01,Almond Honey 06,Golden Light 04,Beige Honey 05,Golden Medium 03,Rick Walnut,Rose Fair 02",available
Lakme 9 to 5 Primer + Matte Powder Foundation Compact - Ivory Cream,₹420,"Select ,SHADE, (,6,) ,Ivory Cream,Silky Golden,Natural Cream / Light,Honey Dew,Natural Almond,Rose Silk",available
Lakme Complexion Care Cream - Frappe,₹306,"Select ,SHADE, (,6,) ,Frappe,Caramel,Honey,Beige,Almond,Bronze",available
Lakme Absolute Blur Perfect Makeup Primer,₹578,"Select ,SIZE, (,2,) ,30g,10g",available
Lakme Eyeconic Liquid Eyeliner - Intense Black,₹221,"Select ,SHADE, (,4,) ,Black,Intense Blue,Brown,Blue",available
Lakme 9 To 5 Primer + Matte Lipstick - MP8 Rosy Sunday,₹385,"Select ,SHADE, (,35,) ,MP8 Rosy Sunday,Burgundy Passion,Blush Pink,Cherry Chic,MR3 Red Rust,Scarlet Surge,MM3 Sangria Weekend,MR4 Roseatte Red,MP9 Nude Touch,MP5 Maroon Mix,Rose Day,Coffee Command,MP2 Ruby Rush,Iconic Red,MP6 Deep Wine,MB1 Chocolate Crush,MB2 Caramel Latte,Pink Rose,Dusty Pink,Brick Blush,MR5 Berry Base,MM1 Mauve Matter,MP1 Pink Perfect,MP3 Pink Party,MP4 Plum Pick,MR2 Red Coat,Peachy Affair,Rustic Brown,MR1 Red Letter,MR6 Coral Date,MP7 Blushing Nude,Red Twist,MM2 Garnet Punch,Brown Walnut,Red Velvet",available
Lakme Cushion Matte Lipstick - Red Kiss,₹267,"Select ,SHADE, (,34,) ,Red Kiss,Pink Unicorn,Pink Lily,Red Aurora,Red Ruby,Red Orchid,Plum Obsession,Red Wine,Red Retro,Nude Toast,Orange Blossom,Burgundy Bloom,Brown Sugar,Pink Petal,Orange Rush,Pink Ruby,Pink Candy,Red Rose,Red Blaze,Pink Date,Pink Rose,Pink Geranium,Mauve Envy,Purple Orchid,Purple Diamond,Pink Flamingo,Red Crimson,Red Marsala,Pink Caramel,Coral Summer,Brown Mocha,Pink Prom,Pink Summer,Pink Blush",available
Lakme True Wear Nail Color - Nudes V014,₹130,"Select ,SHADE, (,15,) ,Nudes V014,N237,N525,Shade 505,RC102,D415,404,N236,Shade 504,Shade 506,TM103,202,D416,D417,N238",available
Lakme Perfecting Liquid Foundation - Natural Pearl,₹180,"Select ,SHADE, (,4,) ,Pearl,Marble,Shell,Coral",available
Lakme Blush & Glow Strawberry Sheet Mask Fruit Facial Like Glow,₹100,"Select ,SHADE, (,5,) ,Strawberry,Watermelon,Lemon,Pomegranate,Kiwi",available
