Productname,price,color,available or not
Lakme Absolute Blur Perfect Makeup Primer,₹578,"Select ,SIZE, (,2,) ,30g,10g",available
Lakme Absolute Lip Mousse - 304 Chocolate Temptation,₹618,"Select ,SHADE, (,11,) ,304 Chocolate Temptation,302 Cocoa Sin,303 Nude Naturalle,301 Nude Sensation,201 Purple Haze,202 Pink Veil,102 Crimson Sky,203 Plum Punch,103 Dark Cherry,204 Fuchsia Fantasy,205 Mauve Mischief",available
Lakme Absolute Skin Natural Mousse - Ivory Fair 01,₹718,"Select ,SHADE, (,7,) ,Ivory Fair 01,Almond Honey 06,Rick Walnut,Rose Fair 02,Beige Honey 05,Golden Light 04,Golden Medium 03",available
Lakme Sun Expert SPF 50 PA+++ Ultra Matte Lotion Sunscreen,₹495,"Select ,SIZE, (,2,) ,50ml,100ml",available
Lakme 9 to 5 Primer + Matte Powder Foundation Compact - Ivory Cream,₹420,"Select ,SHADE, (,6,) ,Ivory Cream,Silky Golden,Natural Cream / Light,Honey Dew,Natural Almond,Rose Silk",available
Lakme Absolute Perfect Radiance Skin Brightening Day Creme,₹272,"Select ,SIZE, (,4,) ,100g,50g,15g,28g",available
Lakme Cushion Matte Lipstick - Red Kiss,₹267,"Select ,SHADE, (,34,) ,Red Kiss,Pink Lily,Pink Petal,Pink Unicorn,Red Ruby,Red Retro,Nude Toast,Orange Blossom,Burgundy Bloom,Brown Sugar,Red Orchid,Plum Obsession,Red Wine,Red Aurora,Pink Rose,Red Blaze,Orange Rush,Pink Ruby,Pink Candy,Pink Summer,Pink Date,Red Rose,Pink Caramel,Coral Summer,Mauve Envy,Purple Diamond,Pink Flamingo,Red Marsala,Pink Geranium,Brown Mocha,Purple Orchid,Red Crimson,Pink Prom,Pink Blush",available
Lakme 9 To 5 Complexion Care Face CC Cream SPF 30 PA++ - Beige,₹252,"Select ,SHADE, (,6,) ,Beige,Almond,Honey,Bronze,Frappe,Caramel",available
Lakme Eyeconic Liquid Eyeliner - Intense Black,₹156,"Select ,SHADE, (,4,) ,Black,Intense Blue,Brown,Blue",available
Lakme 9 To 5 Primer + Matte Lipstick - MP6 Deep Wine,₹275,"Select ,SHADE, (,35,) ,MP6 Deep Wine,Red Twist,Burgundy Passion,Blush Pink,Cherry Chic,MR4 Roseatte Red,MP9 Nude Touch,Scarlet Surge,MR3 Red Rust,MP5 Maroon Mix,Rose Day,Coffee Command,MP2 Ruby Rush,Iconic Red,MB1 Chocolate Crush,MB2 Caramel Latte,Pink Rose,Dusty Pink,Brick Blush,MM1 Mauve Matter,MP1 Pink Perfect,MP3 Pink Party,MP4 Plum Pick,MR2 Red Coat,Peachy Affair,Rustic Brown,MR1 Red Letter,MR6 Coral Date,MM2 Garnet Punch,Brown Walnut,Red Velvet,MR5 Berry Base,MP7 Blushing Nude,MM3 Sangria Weekend,MP8 Rosy Sunday",available
