Productname,price,color,available or not
Lakme Absolute Lip Mousse - 304 Chocolate Temptation,₹618,"Select ,SHADE, (,11,) ,304 Chocolate Temptation,302 Cocoa Sin,203 Plum Punch,103 Dark Cherry,301 Nude Sensation,303 Nude Naturalle,201 Purple Haze,202 Pink Veil,102 Crimson Sky,205 Mauve Mischief,204 Fuchsia Fantasy",available
Lakme Absolute Blur Perfect Makeup Primer,₹578,"Select ,SIZE, (,2,) ,30g,10g",available
Lakme Sun Expert SPF 50 PA+++ Ultra Matte Lotion Sunscreen,₹495,"Select ,SIZE, (,2,) ,50ml,100ml",available
Lakme Eyeconic Liquid Eyeliner - Intense Black,₹221,"Select ,SHADE, (,4,) ,Black,Intense Blue,Brown,Blue",available
Lakme 9 to 5 Primer + Matte Powder Foundation Compact - Ivory Cream,₹420,"Select ,SHADE, (,6,) ,Ivory Cream,Natural Cream / Light,Honey Dew,Natural Almond,Silky Golden,Rose Silk",available
Lakme Absolute Skin Natural Mousse - Ivory Fair 01,₹718,"Select ,SHADE, (,7,) ,Ivory Fair 01,Almond Honey 06,Rick Walnut,Rose Fair 02,Beige Honey 05,Golden Medium 03,Golden Light 04",available
Lakme Absolute Perfect Radiance Skin Brightening Day Creme,₹314,"Select ,SIZE, (,4,) ,50g,15g,28g,100g",available
Lakme Cushion Matte Lipstick - Red Kiss,₹267,"Select ,SHADE, (,34,) ,Red Kiss,Pink Unicorn,Pink Lily,Red Aurora,Red Ruby,Red Orchid,Plum Obsession,Red Wine,Red Retro,Nude Toast,Orange Blossom,Burgundy Bloom,Brown Sugar,Pink Petal,Pink Rose,Red Blaze,Orange Rush,Pink Ruby,Pink Candy,Pink Prom,Pink Summer,Pink Date,Red Rose,Pink Caramel,Coral Summer,Mauve Envy,Purple Diamond,Pink Flamingo,Red Marsala,Pink Geranium,Brown Mocha,Purple Orchid,Red Crimson,Pink Blush",available
Lakme Complexion Care Cream - Frappe,₹306,"Select ,SHADE, (,6,) ,Frappe,Beige,Honey,Almond,Caramel,Bronze",available
Lakme 9 To 5 Primer + Matte Lipstick - MP8 Rosy Sunday,₹385,"Select ,SHADE, (,35,) ,MP8 Rosy Sunday,Cherry Chic,MR4 Roseatte Red,Rose Day,Coffee Command,Red Twist,Burgundy Passion,Blush Pink,MP9 Nude Touch,MP5 Maroon Mix,MR3 Red Rust,MP2 Ruby Rush,Scarlet Surge,Iconic Red,MM3 Sangria Weekend,MM2 Garnet Punch,MP6 Deep Wine,MR2 Red Coat,MP1 Pink Perfect,MP3 Pink Party,MP4 Plum Pick,MR1 Red Letter,MR6 Coral Date,MP7 Blushing Nude,Brick Blush,MB1 Chocolate Crush,MB2 Caramel Latte,Peachy Affair,Rustic Brown,Brown Walnut,MR5 Berry Base,MM1 Mauve Matter,Pink Rose,Dusty Pink,Red Velvet",available
Lakme Eyeconic Curling Mascara - Black,₹342,"Select ,SHADE, (,2,) ,Black,Royal Blue",available
Lakme Lumi Skin,₹494,"Select ,SIZE, (,2,) ,30g,60g",available
Lakme Eyeconic Royal Blue Kajal - Pack of 2,₹450,,available
Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Nude Cushion,₹529,"Select ,SHADE, (,13,) ,Nude Cushion,Rose Touch,Plum Feather,Crimson Silk,Rosy Plum,Brick Bloom,Cocoa Soft,Coffee Lite,Burgundy Lush,Rouge Satin,Fuchsia Suede,Chocolate Mousse,Blush Velvet",available
Lakme Absolute White Intense Wet & Dry Compact - 01 Classic Ivory,₹788,"Select ,SHADE, (,6,) ,01 Classic Ivory,Almond Honey,Rose Cream 02,Golden Medium/Golden Sand,Golden Creme 04,Beige Honey",available
Lakme Absolute Shine Liquid Eye Liner - Black,₹495,"Select ,SHADE, (,5,) ,Black,Steel Grey,Sparkling Olive,Shimmery Bronze,Liquid Gold",available
Lakme Duo Lip Combo,₹770,,available
Lakme Forever Matte Liquid Lip Color - Nude Dream,₹262,"Select ,SHADE, (,50,) ,Nude Dream,Brown Vixen,Pink Vintage,38 Red Candy,40 Rich Mahogany,39 Mauve Petal,33 Pink Parfait,37 Red Berry,Red Carpet,Mauve Fling,Fuschia Chic,Mauve Ecstasy,Wine Touch,Crimson Rose,Purple Pout,Red Velvet,Nude Pink,Nude Myth,Coral Sense,Red Cherry,Pink Ballet,Color Nude bloom,Color Nude perk,Pink Salt,Pink Dusk,Orange Tango,Coral Candy,Pink Glam,Mauve Party,Nude Twist,Pink Prom,Wine Glow,Pink Trip,Pink Punch,Nude Latte,Nude Hue,Red Wine,Red Revival,34 Brown Sheer,31 Cherry Love,32 Pink Floss,35 Rose Wood,36 Nude Charm,Pink Peach,Brown Espresso,Red Sangria,Red Icon,Red Divine,Red Drive,Pink Venus",available
Lakme Absolute Explore Eye Shadow Stick - Subtle Pink,₹713,"Select ,SHADE, (,9,) ,Subtle Pink,Hawaian Pink,Blue Orchid,Aquamarine,Champagne,Shimmering Gold,Sunset Gold,Umber,Jaded Grey",available
Lakme Absolute Liquid Highlighter - Rose Gold,₹595,"Select ,SHADE, (,3,) ,Rose Gold,Ivory,Bronze",available
